FIPS,normalized_income_estimate,normalized_income_moe,population_estimate,NAME,STATE_NAME,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,Per Capita Sales,Total Taxable Sales
6001,117424.85,3973.6,1643700.0,Alameda,California,2794,0.19402777776,0,1142,1142,263.242304939,247.826331981,735499.0,695,1,65,183,31.6025,207544366
6005,77387.95,25202.1,37829.0,Amador,California,2292,0.15916666665,58,2778,2720,809.310209424,738.520458692,1854939.0,976,183,62,529,0.03,1159
6007,68811.4,8519.25,227075.0,Butte,California,6507,0.45187499996,17,2120,2103,474.964038728,507.796464804,3090591.0,1420,30,135,263,33.3275,27450057
6009,80997.75,37801.15,45235.0,Calaveras,California,3964,0.27527777776,61,2469,2408,740.681130172,544.396704327,2936060.0,1329,244,66,549,58.987500000000004,10580602
6013,113215.25,5335.3,1133247.0,Contra Costa,California,2745,0.19062499999,0,1070,1070,148.049544627,147.701822977,406396.0,479,1,65,121,23.335,107020634
6015,59544.45,10706.45,27424.0,Del Norte,California,4161,0.28895833331,0,1829,1829,667.322037972,421.329770378,2776727.0,1298,610,6,630,46.79,4930736
6017,124657.85,19330.3,186661.0,El Dorado,California,6917,0.48034722218,113,3204,3091,1297.16177534,722.109912509,8972468.0,2096,1898,113,1280,61.305,46245746
6019,57735.15,2711.2,978130.0,Fresno,California,22340,1.55138888876,35,4033,3998,1025.26186213,1189.61503636,22904350.0,3437,91,355,360,21.38,87007500
6023,61213.95,11757.25,135768.0,Humboldt,California,14155,0.98298611103,0,1949,1949,534.535287884,363.182788858,7566347.0,1528,60,20,472,60.2675,32085735
6025,60251.25,7067.55,180216.0,Imperial,California,16177,1.12340277769,0,1200,1200,126.467948322,159.38727636,2045872.0,697,0,430,58,42.8375,31335878
6027,76948.6,17048.7,18085.0,Inyo,California,37916,2.63305555534,0,4142,4142,1268.77547737,742.351444108,48106891.0,3572,0,88,1205,75.58500000000001,5700813
6029,56427.3,3147.65,883053.0,Kern,California,30291,2.1035416665,64,2580,2516,724.486745238,539.680113756,21945428.0,2174,91,382,725,5.1975,18918012
6031,55532.75,10362.65,150075.0,Kings,California,5132,0.35638888886,27,941,914,104.698168355,116.717119993,537311.0,416,60,94,60,39.0425,23836368
6033,58494.95,10382.1,64148.0,Lake,California,5105,0.35451388886,189,2031,1842,709.416650343,314.176651303,3621572.0,1113,404,195,634,39.7325,10648282
6035,92375.1,33688.05,31185.0,Lassen,California,18740,1.30138888878,1006,2621,1615,1633.93527215,245.370065566,30619947.0,1230,1646,1006,1646,39.72,2240073
6037,74502.3,974.4,10098052.0,Los Angeles,California,14845,1.0309027777,0,3044,3044,690.510138094,488.903174352,10250623.0,2003,731,311,731,27.915,1096972732
6041,174593.3,17081.75,260295.0,Marin,California,1949,0.13534722221,0,731,731,129.93791688,110.714169096,253249.0,368,60,3,113,12.7975,12942045
6045,63805.3,8306.6,87422.0,Mendocino,California,13637,0.94701388881,1,2073,2072,556.870646037,357.513359185,7594045.0,1596,243,1,487,46.792500000000004,16747631
6047,54996.2,4844.75,269075.0,Merced,California,7395,0.51354166663,14,1073,1059,112.234077079,144.438764073,829971.0,585,30,14,58,26.305,30227984
6051,75345.42857142857,31670.285714285717,14174.0,Mono,California,11981,0.83201388882,1280,4267,2987,2365.33402888,506.283515284,28339067.0,2229,1953,1281,2298,84.8925,4367163
6053,70564.75,4527.5,433212.0,Monterey,California,12405,0.86145833326,0,1678,1678,446.170092705,293.111544497,5534740.0,1231,400,542,400,35.41,61984106
6055,99559.0,9263.2,140530.0,Napa,California,3006,0.20874999998,1,1050,1049,284.978043912,185.344465905,856644.0,647,304,10,260,33.8175,18265305
6057,85657.8,21763.25,99092.0,Nevada,California,3798,0.26374999998,119,2722,2603,1261.56608741,665.453866211,4791428.0,1503,1767,119,1154,52.489999999999995,21033306
